"DMU","Ano","Locos","Vagoes","NTF","TKU","CCL"
"RMP",2024,320.25,3372.833333,21523,9765424216,88867714.7736326
"RMP",2025,321.583333,3311.75,22014,18083296342,164824006.899247
"RMS",2006,353.083333,14372.75,45009,18422800560,180333782.490117
"RMS",2007,347.833333,14142.583333,46736,17147478154,155434460.674656
"RMS",2008,436.583333,14237,71370,17378341458,148321783.949771
"RMS",2009,484.666666,14448.833333,79502,17195534469,157044846.442538
"RMS",2010,515.083333,14869,73493,17473578913,156836786.798581
"RMS",2011,481.583333,15123.583333,56345,18121387639,157636438.456391
"RMS",2012,515.583333,15912.583333,40993,16297213859,146063044.158294
"RMS",2013,469.833333,12257.833333,37569,15789282104,146602687.072905
"RMS",2014,439.833333,12092.416666,35020,14692355517,137997978.93101
"RMS",2015,447,11764.25,33996,14058082467,128656287.460889
"RMS",2016,419.75,10779.166666,25595,11831400448,91671615.797628
"RMS",2017,373.25,9742,30206,13555779898,67000035.5646845
"RMS",2018,381,9330.75,33949,14358390578,65861934.528841
"RMS",2019,332.25,9403.583333,32983,14124563395,67356756.6670209
"RMS",2020,338.75,8987.666666,33375,13962432929,59141542.4644197
"RMS",2021,330.333333,8883.333333,28268,13576139705,56876545.9588813
"RMS",2022,291.583333,8914.75,22805,13096143229,58090028.5977056
"RMS",2023,271.916666,8775.166666,21596,13643357651,99257176.1089547
"RMS",2024,274.25,8947.75,21527,12978260289,53777582.9103324
"RMS",2025,256.75,9261.333333,18585,12865532732,55701565.4614317
